employee_id,employee_name,department,month,sales_target,sales_achieved,attendance_rate,performance_score,review_rating
13,Emerson Wilson,Operations,2025-01,57000,49059,92.7,88.7,2
13,Emerson Wilson,Operations,2025-02,26000,21250,89.8,85,2
13,Emerson Wilson,Operations,2025-03,57000,41098,91.7,79.9,2
13,Emerson Wilson,Operations,2025-04,52000,42156,89.6,84.5,2
14,Finley Johnson,Sales,2025-01,52000,43101,90.9,86.1,3
14,Finley Johnson,Sales,2025-02,24000,18891,91.6,83.9,3
14,Finley Johnson,Sales,2025-03,26000,21971,91,87.1,3
14,Finley Johnson,Sales,2025-04,54000,37692,90.5,78.1,3
15,Skyler Jones,Finance,2025-01,33000,27757,92.9,87.6,4
15,Skyler Jones,Finance,2025-02,48000,41939,94.5,90.2,3
15,Skyler Jones,Finance,2025-03,41000,37206,95.6,92.7,3
15,Skyler Jones,Finance,2025-04,50000,42813,93.4,88.7,3
16,Skyler Smith,Sales,2025-01,57000,60812,97.7,103.1,5
16,Skyler Smith,Sales,2025-02,26000,27918,95.7,102.7,5
16,Skyler Smith,Sales,2025-03,49000,55820,95.7,106.6,5
16,Skyler Smith,Sales,2025-04,35000,34345,99.1,98.5,5
17,Morgan Jones,Marketing,2025-01,53000,56702,97,103,4
17,Morgan Jones,Marketing,2025-02,55000,56329,96.7,100.1,4
17,Morgan Jones,Marketing,2025-03,32000,31274,96.6,97.3,4
17,Morgan Jones,Marketing,2025-04,29000,28883,96.3,98.3,4
18,Cameron Wilson,Marketing,2025-01,41000,39237,94.9,95.4,4
18,Cameron Wilson,Marketing,2025-02,25000,24493,95.5,97,4
18,Cameron Wilson,Marketing,2025-03,45000,39803,95.1,91.1,4
18,Cameron Wilson,Marketing,2025-04,49000,47595,96.2,96.8,4
19,Finley Smith,Operations,2025-01,29000,23830,91.4,85.9,3
19,Finley Smith,Operations,2025-02,60000,49812,94.2,87.5,2
19,Finley Smith,Operations,2025-03,39000,29565,90.6,81.7,3
19,Finley Smith,Operations,2025-04,51000,39090,90.5,82.2,3
20,Sydney Jones,Support,2025-01,32000,34572,98.2,104.1,5
20,Sydney Jones,Support,2025-02,24000,26329,95.9,104.2,5
20,Sydney Jones,Support,2025-03,38000,41973,98.7,105.8,5
20,Sydney Jones,Support,2025-04,43000,48399,97.5,106.5,5
21,Rowan Martinez,Support,2025-01,51000,50082,96.3,97.4,4
21,Rowan Martinez,Support,2025-02,47000,45258,93.4,95.1,3
21,Rowan Martinez,Support,2025-03,60000,52695,96.4,91.3,3
21,Rowan Martinez,Support,2025-04,50000,47065,96.1,94.9,3
22,Morgan Jones,Operations,2025-01,33000,27868,93.7,88.1,4
22,Morgan Jones,Operations,2025-02,23000,19623,93.5,88.6,4
22,Morgan Jones,Operations,2025-03,20000,19316,92.5,94.9,4
22,Morgan Jones,Operations,2025-04,40000,40689,94.9,99,3
23,Reese Jones,Marketing,2025-01,51000,47873,95.6,94.6,4
23,Reese Jones,Marketing,2025-02,45000,39601,92.9,90,4
23,Reese Jones,Marketing,2025-03,29000,28515,93.3,96.3,3
23,Reese Jones,Marketing,2025-04,24000,21546,96.4,92.4,4
24,Peyton Wilson,Finance,2025-01,28000,15378,87.8,68.1,1
24,Peyton Wilson,Finance,2025-02,26000,15575,87.6,71,1
24,Peyton Wilson,Finance,2025-03,20000,12693,87.9,73.2,1
24,Peyton Wilson,Finance,2025-04,21000,12505,89.2,71.4,1
25,Hayden Wilson,Finance,2025-01,33000,38079,98.9,108.8,5
25,Hayden Wilson,Finance,2025-02,58000,64948,98.4,106.5,5
25,Hayden Wilson,Finance,2025-03,32000,36477,97,107.2,5
25,Hayden Wilson,Finance,2025-04,22000,24111,97.9,104.9,5
26,Drew Martinez,Finance,2025-01,20000,15299,90.9,82.3,2
26,Drew Martinez,Finance,2025-02,22000,16069,89.7,79.7,2
26,Drew Martinez,Finance,2025-03,50000,40479,92.1,85.4,2
26,Drew Martinez,Finance,2025-04,40000,33431,92.6,87.2,2
27,Emerson Thomas,Marketing,2025-01,52000,54802,96.7,101.9,4
27,Emerson Thomas,Marketing,2025-02,40000,45863,98,108,4
27,Emerson Thomas,Marketing,2025-03,51000,56343,97.6,105.3,5
27,Emerson Thomas,Marketing,2025-04,45000,50358,95.4,105.3,5
28,Emerson Williams,Support,2025-01,51000,49557,95.1,96.3,4
28,Emerson Williams,Support,2025-02,60000,53980,96,92.4,4
28,Emerson Williams,Support,2025-03,43000,41433,95.6,96.1,4
28,Emerson Williams,Support,2025-04,47000,46575,96.7,98.1,4
29,Morgan Taylor,Sales,2025-01,33000,34202,95.5,100.4,5
29,Morgan Taylor,Sales,2025-02,29000,27184,96,94.6,4
29,Morgan Taylor,Sales,2025-03,24000,26457,94.4,103.9,4
29,Morgan Taylor,Sales,2025-04,41000,38646,97.4,95.5,5
30,Sydney Smith,Sales,2025-01,29000,24798,93.6,88.7,3
30,Sydney Smith,Sales,2025-02,24000,21355,94.6,91.2,4
30,Sydney Smith,Sales,2025-03,46000,42603,93.8,93.1,3
30,Sydney Smith,Sales,2025-04,23000,19747,94.2,89.2,3
31,Skyler Johnson,Marketing,2025-01,40000,27114,90.4,76.8,1
31,Skyler Johnson,Marketing,2025-02,51000,37051,88.5,79,2
31,Skyler Johnson,Marketing,2025-03,54000,33938,86.9,72.5,1
31,Skyler Johnson,Marketing,2025-04,53000,29926,88.2,69.2,2
32,Sydney Miller,Support,2025-01,48000,49097,95,99.4,4
32,Sydney Miller,Support,2025-02,58000,61216,95.3,101.4,4
32,Sydney Miller,Support,2025-03,45000,47551,94.2,101.1,4
32,Sydney Miller,Support,2025-04,30000,32027,97.1,102.9,5
33,Reese Miller,Marketing,2025-01,23000,17974,90.5,83.1,2
33,Reese Miller,Marketing,2025-02,33000,26166,90.8,83.9,3
33,Reese Miller,Marketing,2025-03,58000,51399,90,89.2,3
33,Reese Miller,Marketing,2025-04,54000,44727,93.2,87,2
34,Reese Thomas,Finance,2025-01,25000,18785,89.6,80.9,2
34,Reese Thomas,Finance,2025-02,52000,35704,90.3,77.3,2
34,Reese Thomas,Finance,2025-03,29000,24849,92.2,88.3,2
34,Reese Thomas,Finance,2025-04,60000,44043,90.4,80.2,2
35,Hayden Moore,Finance,2025-01,55000,39201,89.6,78.6,1
35,Hayden Moore,Finance,2025-02,38000,21528,88.5,69.4,1
35,Hayden Moore,Finance,2025-03,26000,17911,87,76.1,1
35,Hayden Moore,Finance,2025-04,42000,29377,88.2,77.2,2
36,Emerson Garcia,Sales,2025-01,38000,26935,89.8,78.4,1
36,Emerson Garcia,Sales,2025-02,41000,27057,89.4,75.4,1
36,Emerson Garcia,Sales,2025-03,22000,14346,87,73.9,1
36,Emerson Garcia,Sales,2025-04,40000,25208,86.4,72.4,1
37,Finley Rodriguez,Operations,2025-01,47000,48201,98.2,100.8,4
37,Finley Rodriguez,Operations,2025-02,51000,52046,95.2,99.3,5
37,Finley Rodriguez,Operations,2025-03,25000,24157,95.7,96.3,4
37,Finley Rodriguez,Operations,2025-04,53000,50051,97,95.5,4
38,Peyton Johnson,Sales,2025-01,50000,28722,87.5,69.5,1
38,Peyton Johnson,Sales,2025-02,43000,24778,88.3,69.9,1
38,Peyton Johnson,Sales,2025-03,27000,19021,87.6,77.3,1
38,Peyton Johnson,Sales,2025-04,39000,25481,89.9,75.2,2
39,Jamie Anderson,Support,2025-01,60000,59431,95.1,97.5,4
39,Jamie Anderson,Support,2025-02,20000,19899,96.2,98.2,4
39,Jamie Anderson,Support,2025-03,31000,29448,94.6,94.8,3
39,Jamie Anderson,Support,2025-04,34000,31082,96.4,93.4,4
40,Hayden Anderson,Marketing,2025-01,23000,18784,94.3,86.7,3
40,Hayden Anderson,Marketing,2025-02,42000,38905,92.4,92.5,3
40,Hayden Anderson,Marketing,2025-03,21000,20486,93.7,96,3
40,Hayden Anderson,Marketing,2025-04,43000,40010,93.2,93.1,3
41,Cameron Williams,Marketing,2025-01,24000,18260,92.8,82.8,3
41,Cameron Williams,Marketing,2025-02,33000,24386,93.5,81.7,3
41,Cameron Williams,Marketing,2025-03,25000,20870,91,86.5,3
41,Cameron Williams,Marketing,2025-04,26000,23110,91.9,90.1,3
42,Drew Rodriguez,Marketing,2025-01,46000,39433,94.5,89.2,3
42,Drew Rodriguez,Marketing,2025-02,25000,20461,91.5,85.7,3
42,Drew Rodriguez,Marketing,2025-03,35000,26173,93.3,82.2,3
42,Drew Rodriguez,Marketing,2025-04,44000,41539,91.2,93.1,3
43,Riley Thomas,Operations,2025-01,26000,18841,89.6,79.3,1
43,Riley Thomas,Operations,2025-02,52000,31825,90.2,72.8,1
43,Riley Thomas,Operations,2025-03,37000,23891,89.5,74.5,1
43,Riley Thomas,Operations,2025-04,24000,17178,90,78.9,2
44,Riley Wilson,Finance,2025-01,39000,31596,92.4,85.6,3
44,Riley Wilson,Finance,2025-02,34000,28126,94.2,87.3,2
44,Riley Wilson,Finance,2025-03,43000,31768,92,81.1,3
44,Riley Wilson,Finance,2025-04,42000,38611,93.6,92.6,3
45,Sydney Miller,Operations,2025-01,39000,38039,96,96.9,5
45,Sydney Miller,Operations,2025-02,43000,47156,98.7,105.3,5
45,Sydney Miller,Operations,2025-03,33000,34034,97.3,100.8,4
45,Sydney Miller,Operations,2025-04,39000,41651,95.6,102.3,4
46,Peyton Johnson,Support,2025-01,25000,20219,93.9,86.1,3
46,Peyton Johnson,Support,2025-02,30000,25718,94.3,89.2,3
46,Peyton Johnson,Support,2025-03,35000,28948,94.2,87.3,4
46,Peyton Johnson,Support,2025-04,41000,35917,92.2,89.4,3
47,Dakota Jones,Finance,2025-01,30000,26950,95.3,92,4
47,Dakota Jones,Finance,2025-02,60000,56438,92.2,93.3,3
47,Dakota Jones,Finance,2025-03,50000,47361,92.6,93.9,3
47,Dakota Jones,Finance,2025-04,53000,44724,92.4,87.6,3
48,Taylor Taylor,Marketing,2025-01,52000,48466,94.8,93.8,3
48,Taylor Taylor,Marketing,2025-02,36000,34556,95.5,95.8,3
48,Taylor Taylor,Marketing,2025-03,34000,31496,92.1,92.4,3
48,Taylor Taylor,Marketing,2025-04,57000,49131,94.2,89.4,3
49,Reese Brown,Sales,2025-01,33000,23655,89.7,78.9,2
49,Reese Brown,Sales,2025-02,28000,20405,90.8,80,2
49,Reese Brown,Sales,2025-03,28000,18099,89.7,74.7,2
49,Reese Brown,Sales,2025-04,24000,16590,91.5,78.1,2
50,Peyton Moore,Operations,2025-01,51000,49319,95,96,5
50,Peyton Moore,Operations,2025-02,46000,46213,98.8,99.8,4
50,Peyton Moore,Operations,2025-03,59000,66618,98.7,107.2,4
50,Peyton Moore,Operations,2025-04,23000,23765,97.9,101.2,5
