sale_id,sale_date,sales_rep,region,product,units_sold,unit_price,revenue,channel
5033,2024-05-24,William Foster,South,ProSuite Enterprise,11,249,2739.00,Retail
5034,2024-07-05,William Foster,Central,Analytics Module,13,79,1027.00,Retail
5035,2024-12-20,Isabella Cruz,South,ProSuite Pro,8,99,792.00,Online
5036,2024-12-27,William Foster,West,Support Plan,15,19,285.00,Online
5037,2024-06-14,Emma Clarke,West,Analytics Module,17,79,1343.00,Online
5038,2024-04-23,William Foster,North,ProSuite Pro,11,99,1089.00,Retail
5039,2024-07-07,Emma Clarke,West,ProSuite Basic,13,49,637.00,Retail
5040,2024-09-29,Noah Reed,North,ProSuite Enterprise,14,249,3486.00,Retail
5041,2024-05-26,Noah Reed,East,ProSuite Basic,11,49,539.00,Online
5042,2024-11-09,Olivia Bennett,North,DataSync Add-on,2,29,58.00,Online
5043,2024-01-05,William Foster,South,ProSuite Basic,18,49,882.00,Retail
5044,2024-12-28,Isabella Cruz,South,Analytics Module,13,79,1027.00,Online
5045,2024-09-19,Liam Turner,Central,ProSuite Basic,5,49,245.00,Online
5046,2024-03-25,Olivia Bennett,Central,Support Plan,14,19,266.00,Online
5047,2024-06-04,Sophia Hayes,South,Support Plan,10,19,190.00,Online
5048,2024-08-13,Benjamin Ross,South,ProSuite Basic,15,49,735.00,Retail
5049,2024-05-20,James Blake,Central,Analytics Module,8,79,632.00,Retail
5050,2024-03-15,Ava Coleman,Central,Analytics Module,16,79,1264.00,Online
5051,2024-12-08,William Foster,East,ProSuite Basic,1,49,49.00,Online
5052,2024-04-05,Emma Clarke,Central,ProSuite Enterprise,10,249,2490.00,Online
5053,2024-09-04,Benjamin Ross,West,ProSuite Pro,11,99,1089.00,Online
5054,2024-07-07,Isabella Cruz,West,Analytics Module,20,79,1580.00,Retail
5055,2024-05-31,Noah Reed,East,DataSync Add-on,17,29,493.00,Retail
5056,2024-03-20,Isabella Cruz,South,DataSync Add-on,15,29,435.00,Online
5057,2024-05-29,Olivia Bennett,East,ProSuite Enterprise,11,249,2739.00,Online
5058,2024-10-06,Isabella Cruz,Central,ProSuite Pro,3,99,297.00,Online
5059,2024-01-27,William Foster,West,Analytics Module,3,79,237.00,Retail
5060,2024-05-07,James Blake,Central,ProSuite Enterprise,17,249,4233.00,Retail
5061,2024-06-08,Isabella Cruz,West,DataSync Add-on,2,29,58.00,Retail
5062,2024-11-29,Noah Reed,Central,ProSuite Pro,18,99,1782.00,Retail
5063,2024-12-07,William Foster,North,Support Plan,6,19,114.00,Retail
5064,2024-03-01,Ava Coleman,North,Analytics Module,3,79,237.00,Online
5065,2024-03-04,Ava Coleman,South,ProSuite Basic,16,49,784.00,Retail
5066,2024-10-30,James Blake,Central,Analytics Module,16,79,1264.00,Online
5067,2024-11-16,Liam Turner,South,DataSync Add-on,20,29,580.00,Online
5068,2024-09-20,Isabella Cruz,North,DataSync Add-on,16,29,464.00,Online
5069,2024-06-13,Olivia Bennett,North,ProSuite Basic,7,49,343.00,Online
5070,2024-06-11,Noah Reed,East,ProSuite Enterprise,1,249,249.00,Online
5071,2024-06-16,Liam Turner,West,Analytics Module,9,79,711.00,Online
5072,2024-09-22,Benjamin Ross,South,Analytics Module,3,79,237.00,Retail
5073,2024-02-28,Noah Reed,East,ProSuite Basic,7,49,343.00,Retail
5074,2024-09-04,Ava Coleman,East,Support Plan,6,19,114.00,Online
5075,2024-01-13,Emma Clarke,Central,ProSuite Pro,6,99,594.00,Retail
5076,2024-05-16,Liam Turner,South,DataSync Add-on,15,29,435.00,Online
5077,2024-04-07,Liam Turner,Central,Analytics Module,9,79,711.00,Retail
5078,2024-06-22,Liam Turner,North,Analytics Module,1,79,79.00,Online
5079,2024-07-01,Sophia Hayes,West,Support Plan,6,19,114.00,Retail
5080,2024-10-16,Sophia Hayes,Central,Analytics Module,5,79,395.00,Online
5081,2024-10-16,Benjamin Ross,East,DataSync Add-on,20,29,580.00,Retail
5082,2024-04-30,William Foster,East,DataSync Add-on,19,29,551.00,Retail
5083,2024-02-02,Noah Reed,West,Support Plan,14,19,266.00,Retail
5084,2024-05-18,Benjamin Ross,North,ProSuite Basic,2,49,98.00,Retail
5085,2024-09-06,Benjamin Ross,East,ProSuite Pro,14,99,1386.00,Online
5086,2024-12-20,Benjamin Ross,Central,ProSuite Basic,13,49,637.00,Online
5087,2024-10-06,Emma Clarke,South,DataSync Add-on,6,29,174.00,Online
5088,2024-09-04,Noah Reed,South,Support Plan,7,19,133.00,Retail
5089,2024-06-19,Emma Clarke,South,ProSuite Pro,3,99,297.00,Online
5090,2024-10-29,Sophia Hayes,East,ProSuite Pro,4,99,396.00,Online
5091,2024-05-25,Noah Reed,North,ProSuite Enterprise,1,249,249.00,Online
5092,2024-08-14,Isabella Cruz,East,ProSuite Pro,6,99,594.00,Retail
5093,2024-11-01,William Foster,East,Support Plan,14,19,266.00,Retail
5094,2024-01-06,William Foster,Central,Analytics Module,16,79,1264.00,Online
5095,2024-06-15,William Foster,West,DataSync Add-on,11,29,319.00,Online
5096,2024-08-30,Emma Clarke,West,ProSuite Basic,15,49,735.00,Online
5097,2024-12-03,Isabella Cruz,West,Analytics Module,9,79,711.00,Retail
5098,2024-04-24,Sophia Hayes,North,ProSuite Pro,6,99,594.00,Online
5099,2024-08-08,Benjamin Ross,North,ProSuite Basic,6,49,294.00,Retail
5100,2024-02-15,Sophia Hayes,South,DataSync Add-on,4,29,116.00,Online
5101,2024-03-25,William Foster,North,Analytics Module,1,79,79.00,Retail
5102,2024-04-06,Isabella Cruz,North,ProSuite Basic,2,49,98.00,Online
5103,2024-10-11,Noah Reed,North,Support Plan,13,19,247.00,Online
5104,2024-12-30,Ava Coleman,Central,Support Plan,2,19,38.00,Online
5105,2024-09-21,William Foster,South,ProSuite Pro,3,99,297.00,Retail
5106,2024-12-21,Olivia Bennett,North,ProSuite Pro,8,99,792.00,Retail
5107,2024-11-10,William Foster,North,ProSuite Enterprise,11,249,2739.00,Online
5108,2024-12-08,Olivia Bennett,Central,Support Plan,20,19,380.00,Retail
5109,2024-02-10,Noah Reed,East,ProSuite Enterprise,8,249,1992.00,Retail
5110,2024-07-17,Noah Reed,North,ProSuite Basic,15,49,735.00,Retail
5111,2024-06-14,Isabella Cruz,West,Support Plan,19,19,361.00,Online
5112,2024-10-24,Isabella Cruz,East,ProSuite Pro,15,99,1485.00,Online
5113,2024-02-06,William Foster,West,ProSuite Basic,16,49,784.00,Retail
5114,2024-10-16,Benjamin Ross,West,ProSuite Basic,8,49,392.00,Retail
5115,2024-06-16,Sophia Hayes,South,ProSuite Basic,17,49,833.00,Retail
5116,2024-04-09,James Blake,East,Analytics Module,16,79,1264.00,Retail
5117,2024-06-25,William Foster,Central,ProSuite Basic,2,49,98.00,Online
5118,2024-05-27,Sophia Hayes,Central,Analytics Module,15,79,1185.00,Retail
5119,2024-12-23,James Blake,West,Analytics Module,14,79,1106.00,Retail
5120,2024-07-12,Sophia Hayes,East,ProSuite Basic,3,49,147.00,Online
5121,2024-01-18,Ava Coleman,Central,Analytics Module,11,79,869.00,Retail
5122,2024-05-28,Emma Clarke,South,ProSuite Enterprise,20,249,4980.00,Online
5123,2024-01-05,Benjamin Ross,West,Support Plan,6,19,114.00,Online
5124,2024-06-13,Noah Reed,West,ProSuite Basic,13,49,637.00,Online
5125,2024-12-07,Emma Clarke,Central,Support Plan,3,19,57.00,Online
5126,2024-06-18,Ava Coleman,North,ProSuite Enterprise,10,249,2490.00,Online
5127,2024-10-21,Emma Clarke,East,ProSuite Basic,11,49,539.00,Online
5128,2024-12-09,Isabella Cruz,Central,Analytics Module,1,79,79.00,Online
5129,2024-08-26,James Blake,North,ProSuite Pro,14,99,1386.00,Retail
5130,2024-05-22,Olivia Bennett,East,ProSuite Enterprise,1,249,249.00,Online
5131,2024-06-03,Ava Coleman,East,ProSuite Pro,15,99,1485.00,Online
5132,2024-03-08,Noah Reed,East,DataSync Add-on,5,29,145.00,Retail
5133,2024-02-27,Sophia Hayes,Central,ProSuite Enterprise,12,249,2988.00,Online
5134,2024-04-25,Ava Coleman,West,DataSync Add-on,3,29,87.00,Online
5135,2024-06-19,Ava Coleman,East,Analytics Module,6,79,474.00,Retail
5136,2024-04-05,William Foster,East,DataSync Add-on,13,29,377.00,Online
5137,2024-04-27,Ava Coleman,East,DataSync Add-on,7,29,203.00,Online
5138,2024-04-12,Emma Clarke,West,ProSuite Basic,17,49,833.00,Online
5139,2024-09-05,William Foster,Central,ProSuite Enterprise,17,249,4233.00,Retail
5140,2024-03-23,Sophia Hayes,West,ProSuite Basic,19,49,931.00,Retail
5141,2024-05-30,Liam Turner,Central,ProSuite Enterprise,13,249,3237.00,Online
5142,2024-04-12,William Foster,Central,DataSync Add-on,16,29,464.00,Online
5143,2024-12-02,Noah Reed,East,DataSync Add-on,9,29,261.00,Online
5144,2024-05-07,Noah Reed,Central,ProSuite Basic,4,49,196.00,Online
5145,2024-04-19,Sophia Hayes,West,DataSync Add-on,14,29,406.00,Online
5146,2024-01-13,Sophia Hayes,East,ProSuite Pro,8,99,792.00,Online
5147,2024-07-16,Sophia Hayes,Central,ProSuite Pro,18,99,1782.00,Online
5148,2024-12-16,Olivia Bennett,West,Analytics Module,18,79,1422.00,Retail
5149,2024-03-09,Benjamin Ross,North,ProSuite Enterprise,10,249,2490.00,Retail
5150,2024-10-24,Ava Coleman,West,Analytics Module,9,79,711.00,Online
5151,2024-12-14,James Blake,Central,ProSuite Enterprise,10,249,2490.00,Online
5152,2024-05-25,Sophia Hayes,South,DataSync Add-on,11,29,319.00,Retail
5153,2024-05-01,Ava Coleman,Central,ProSuite Pro,5,99,495.00,Online
5154,2024-11-25,Benjamin Ross,West,Analytics Module,14,79,1106.00,Retail
5155,2024-05-19,Liam Turner,Central,ProSuite Enterprise,14,249,3486.00,Retail
5156,2024-03-25,Liam Turner,North,Analytics Module,3,79,237.00,Online
5157,2024-07-09,Ava Coleman,East,DataSync Add-on,12,29,348.00,Online
5158,2024-08-19,Benjamin Ross,Central,ProSuite Enterprise,14,249,3486.00,Online
5159,2024-08-16,Liam Turner,West,Analytics Module,7,79,553.00,Online
5160,2024-09-17,William Foster,South,ProSuite Enterprise,8,249,1992.00,Online
5161,2024-05-01,Emma Clarke,Central,ProSuite Pro,3,99,297.00,Retail
5162,2024-11-05,Benjamin Ross,North,DataSync Add-on,1,29,29.00,Retail
5163,2024-01-10,Sophia Hayes,South,Analytics Module,4,79,316.00,Retail
5164,2024-05-31,Liam Turner,East,ProSuite Enterprise,7,249,1743.00,Online
5165,2024-06-16,William Foster,West,ProSuite Pro,9,99,891.00,Online
5166,2024-03-22,James Blake,North,ProSuite Basic,1,49,49.00,Retail
5167,2024-11-16,James Blake,Central,Support Plan,15,19,285.00,Online
5168,2024-02-15,Benjamin Ross,Central,Support Plan,19,19,361.00,Online
5169,2024-05-25,Benjamin Ross,East,ProSuite Pro,6,99,594.00,Retail
5170,2024-11-23,Olivia Bennett,South,ProSuite Pro,20,99,1980.00,Retail
5171,2024-08-14,James Blake,West,ProSuite Pro,18,99,1782.00,Online
5172,2024-10-29,Liam Turner,South,ProSuite Pro,10,99,990.00,Online
5173,2024-12-22,Benjamin Ross,East,ProSuite Basic,6,49,294.00,Online
5174,2024-11-21,Liam Turner,East,Analytics Module,10,79,790.00,Retail
5175,2024-01-03,Noah Reed,Central,ProSuite Pro,15,99,1485.00,Retail
5176,2024-04-27,Benjamin Ross,West,Support Plan,10,19,190.00,Retail
5177,2024-07-23,Liam Turner,North,ProSuite Enterprise,16,249,3984.00,Online
5178,2024-05-21,William Foster,South,ProSuite Basic,7,49,343.00,Retail
5179,2024-09-27,William Foster,South,Analytics Module,9,79,711.00,Online
5180,2024-09-14,Isabella Cruz,East,ProSuite Pro,14,99,1386.00,Online
5181,2024-07-11,Ava Coleman,North,ProSuite Enterprise,3,249,747.00,Online
5182,2024-06-14,James Blake,Central,DataSync Add-on,19,29,551.00,Online
5183,2024-03-13,Ava Coleman,West,ProSuite Basic,1,49,49.00,Retail
5184,2024-09-16,Olivia Bennett,Central,DataSync Add-on,14,29,406.00,Retail
5185,2024-03-05,Emma Clarke,West,Analytics Module,12,79,948.00,Online
5186,2024-11-05,Olivia Bennett,West,Support Plan,20,19,380.00,Online
5187,2024-01-05,Sophia Hayes,West,Analytics Module,19,79,1501.00,Online
5188,2024-11-21,Noah Reed,East,ProSuite Pro,5,99,495.00,Online
5189,2024-05-16,Benjamin Ross,Central,ProSuite Basic,4,49,196.00,Retail
5190,2024-05-21,Emma Clarke,West,ProSuite Pro,5,99,495.00,Online
5191,2024-03-22,Liam Turner,East,DataSync Add-on,15,29,435.00,Online
5192,2024-03-13,Ava Coleman,North,ProSuite Basic,3,49,147.00,Retail
5193,2024-09-02,Ava Coleman,Central,ProSuite Basic,4,49,196.00,Retail
5194,2024-12-14,Noah Reed,Central,DataSync Add-on,8,29,232.00,Retail
5195,2024-04-19,Noah Reed,South,ProSuite Enterprise,16,249,3984.00,Online
5196,2024-04-20,Noah Reed,North,DataSync Add-on,16,29,464.00,Online
5197,2024-07-28,Sophia Hayes,Central,ProSuite Pro,10,99,990.00,Online
5198,2024-03-12,Liam Turner,East,ProSuite Enterprise,4,249,996.00,Online
5199,2024-05-13,Ava Coleman,East,Support Plan,17,19,323.00,Online
5200,2024-01-14,Benjamin Ross,South,Analytics Module,8,79,632.00,Retail
5201,2024-04-23,James Blake,South,DataSync Add-on,7,29,203.00,Retail
5202,2024-06-07,Sophia Hayes,East,Support Plan,12,19,228.00,Retail
5203,2024-03-02,Benjamin Ross,South,ProSuite Pro,3,99,297.00,Retail
5204,2024-11-10,William Foster,East,ProSuite Pro,8,99,792.00,Retail
5205,2024-09-02,William Foster,West,Analytics Module,1,79,79.00,Retail
5206,2024-12-02,Sophia Hayes,East,ProSuite Enterprise,18,249,4482.00,Online
5207,2024-07-16,Sophia Hayes,Central,ProSuite Pro,8,99,792.00,Online
5208,2024-06-04,William Foster,West,ProSuite Basic,20,49,980.00,Online
5209,2024-08-10,Olivia Bennett,Central,ProSuite Enterprise,9,249,2241.00,Retail
5210,2024-05-16,James Blake,North,ProSuite Pro,5,99,495.00,Retail
5211,2024-09-09,Sophia Hayes,East,ProSuite Basic,17,49,833.00,Online
5212,2024-02-12,Benjamin Ross,West,DataSync Add-on,19,29,551.00,Online
5213,2024-05-24,James Blake,North,Support Plan,9,19,171.00,Retail
5214,2024-04-02,Olivia Bennett,North,ProSuite Enterprise,6,249,1494.00,Retail
5215,2024-06-07,William Foster,Central,Support Plan,1,19,19.00,Retail
5216,2024-03-18,Olivia Bennett,West,ProSuite Basic,20,49,980.00,Retail
5217,2024-06-15,Ava Coleman,West,ProSuite Pro,5,99,495.00,Retail
5218,2024-09-13,Olivia Bennett,North,ProSuite Basic,5,49,245.00,Retail
5219,2024-01-10,Noah Reed,West,Analytics Module,2,79,158.00,Retail
5220,2024-12-14,James Blake,North,Analytics Module,15,79,1185.00,Retail
5221,2024-10-21,Ava Coleman,South,DataSync Add-on,18,29,522.00,Retail
5222,2024-04-09,Emma Clarke,West,Analytics Module,5,79,395.00,Online
5223,2024-11-18,Sophia Hayes,East,ProSuite Enterprise,11,249,2739.00,Online
5224,2024-03-22,Olivia Bennett,North,DataSync Add-on,6,29,174.00,Online
5225,2024-01-23,Benjamin Ross,West,ProSuite Pro,6,99,594.00,Online
5226,2024-12-12,Emma Clarke,West,DataSync Add-on,9,29,261.00,Online
5227,2024-07-04,Sophia Hayes,Central,ProSuite Pro,9,99,891.00,Online
5228,2024-04-22,Isabella Cruz,South,Analytics Module,17,79,1343.00,Online
5229,2024-01-29,James Blake,North,Analytics Module,17,79,1343.00,Retail
5230,2024-11-21,Emma Clarke,North,ProSuite Pro,14,99,1386.00,Online
5231,2024-12-21,Sophia Hayes,South,Analytics Module,10,79,790.00,Online
5232,2024-04-14,William Foster,South,Analytics Module,15,79,1185.00,Retail
5233,2024-11-27,James Blake,Central,ProSuite Pro,16,99,1584.00,Online
5234,2024-04-07,Emma Clarke,South,Analytics Module,4,79,316.00,Retail
5235,2024-11-25,Noah Reed,North,DataSync Add-on,2,29,58.00,Online
5236,2024-11-11,Olivia Bennett,West,Support Plan,6,19,114.00,Online
5237,2024-12-10,Noah Reed,East,Analytics Module,5,79,395.00,Online
5238,2024-10-17,Isabella Cruz,Central,ProSuite Enterprise,11,249,2739.00,Online
5239,2024-08-03,Emma Clarke,North,Analytics Module,18,79,1422.00,Retail
5240,2024-08-13,Sophia Hayes,East,DataSync Add-on,7,29,203.00,Retail
5241,2024-10-12,Ava Coleman,East,ProSuite Basic,17,49,833.00,Online
5242,2024-01-06,James Blake,West,DataSync Add-on,7,29,203.00,Online
5243,2024-04-24,William Foster,West,Support Plan,6,19,114.00,Online
5244,2024-07-09,Benjamin Ross,Central,Analytics Module,19,79,1501.00,Online
5245,2024-09-03,Noah Reed,Central,ProSuite Pro,5,99,495.00,Online
5246,2024-12-05,Isabella Cruz,North,ProSuite Enterprise,10,249,2490.00,Retail
5247,2024-10-11,Isabella Cruz,East,ProSuite Pro,8,99,792.00,Retail
5248,2024-04-23,Liam Turner,North,Analytics Module,15,79,1185.00,Retail
5249,2024-02-09,Emma Clarke,Central,ProSuite Basic,8,49,392.00,Online
5250,2024-07-04,Liam Turner,East,Support Plan,13,19,247.00,Online
5251,2024-11-02,Benjamin Ross,East,ProSuite Basic,12,49,588.00,Retail
5252,2024-05-12,Sophia Hayes,North,ProSuite Pro,2,99,198.00,Online
5253,2024-08-29,Sophia Hayes,North,ProSuite Enterprise,18,249,4482.00,Retail
5254,2024-11-07,Ava Coleman,South,ProSuite Basic,16,49,784.00,Online
5255,2024-04-22,William Foster,West,ProSuite Basic,3,49,147.00,Online
5256,2024-05-01,Noah Reed,West,Analytics Module,4,79,316.00,Retail
5257,2024-01-24,Ava Coleman,South,Support Plan,8,19,152.00,Retail
5258,2024-06-21,Sophia Hayes,Central,ProSuite Enterprise,18,249,4482.00,Online
5259,2024-11-19,James Blake,South,ProSuite Enterprise,15,249,3735.00,Online
5260,2024-12-24,Olivia Bennett,East,DataSync Add-on,20,29,580.00,Online
